Clase Original;Clase Predicha
1;[[0.52642435]]
1;[[0.5113579]]
1;[[0.5269575]]
0;[[0.5270803]]
0;[[0.515273]]
0;[[0.5267882]]
0;[[0.5260129]]
0;[[0.5269493]]
0;[[0.52704245]]
1;[[0.5270803]]
0;[[0.5270567]]
0;[[0.5266896]]
0;[[0.52698267]]
0;[[0.5001838]]
1;[[0.52707106]]
0;[[0.5267293]]
0;[[0.5270827]]
1;[[0.5257399]]
1;[[0.5260832]]
0;[[0.5264625]]
0;[[0.52642435]]
1;[[0.526965]]
1;[[0.5267293]]
0;[[0.5270827]]
1;[[0.52530164]]
1;[[0.52677786]]
1;[[0.5261129]]
1;[[0.52677786]]
0;[[0.52705485]]
0;[[0.5264625]]
1;[[0.5270827]]
0;[[0.52677786]]
1;[[0.52666837]]
0;[[0.5270803]]
0;[[0.5270093]]
1;[[0.5266008]]
0;[[0.5270893]]
0;[[0.5270827]]
0;[[0.52372754]]
0;[[0.5269657]]
0;[[0.52150506]]
1;[[0.5157691]]
0;[[0.5269451]]
1;[[0.5195852]]
1;[[0.5270498]]
0;[[0.5270484]]
1;[[0.52677786]]
1;[[0.52674687]]
1;[[0.5262063]]
1;[[0.5270893]]
0;[[0.5262063]]
0;[[0.5257064]]
0;[[0.52496356]]
1;[[0.52699536]]
1;[[0.5260913]]
0;[[0.5252777]]
0;[[0.5264313]]
1;[[0.5270286]]
1;[[0.5259927]]
1;[[0.523503]]
0;[[0.52677786]]
1;[[0.5266896]]
0;[[0.5275793]]
1;[[0.5262063]]
0;[[0.5264615]]
1;[[0.5264625]]
1;[[0.52677786]]
0;[[0.49801984]]
1;[[0.5252777]]
0;[[0.5264625]]
0;[[0.5270827]]
0;[[0.5266836]]
0;[[0.5267293]]
1;[[0.5262063]]
0;[[0.5270286]]
0;[[0.5241714]]
1;[[0.5262063]]
1;[[0.52693546]]
0;[[0.51845646]]
1;[[0.5267622]]
0;[[0.5240636]]
0;[[0.52194357]]
0;[[0.5270893]]
1;[[0.52677786]]
1;[[0.52651024]]
1;[[0.5167526]]
1;[[0.5259811]]
1;[[0.52642965]]
0;[[0.5270286]]
0;[[0.49479842]]
0;[[0.52668566]]
0;[[0.45584753]]
1;[[0.5236452]]
1;[[0.51829624]]
0;[[0.5269493]]
1;[[0.51871216]]
0;[[0.5263149]]
0;[[0.525439]]
0;[[0.5270672]]
0;[[0.5270264]]
0;[[0.523503]]
0;[[0.52609205]]
1;[[0.52553964]]
1;[[0.52644765]]
1;[[0.5264135]]
1;[[0.5267152]]
0;[[0.5264313]]
1;[[0.5236441]]
0;[[0.5263776]]
1;[[0.5241232]]
1;[[0.52689105]]
1;[[0.5267987]]
0;[[0.52669525]]
1;[[0.5262063]]
0;[[0.5270893]]
0;[[0.5262063]]
0;[[0.5264625]]
0;[[0.5264958]]
0;[[0.52475756]]
0;[[0.5270893]]
1;[[0.52677786]]
0;[[0.52618784]]
0;[[0.5266789]]
1;[[0.5269657]]
0;[[0.525439]]
1;[[0.5237168]]
0;[[0.5267152]]
1;[[0.5262063]]
1;[[0.5269212]]
1;[[0.52615255]]
1;[[0.5243235]]
1;[[0.5090999]]
1;[[0.5269592]]
1;[[0.507094]]
1;[[0.5268027]]
1;[[0.5267882]]
1;[[0.52669454]]
1;[[0.52648735]]
0;[[0.52164984]]
1;[[0.5237648]]
0;[[0.5267152]]
0;[[0.5265095]]
0;[[0.5214345]]
0;[[0.51805335]]
1;[[0.5268708]]
1;[[0.52759755]]
0;[[0.5267759]]
0;[[0.52150524]]
0;[[0.5264625]]
1;[[0.5262063]]
1;[[0.52701664]]
0;[[0.52677786]]
1;[[0.5243902]]
0;[[0.5264625]]
0;[[0.5267101]]
0;[[0.5248981]]
0;[[0.52163726]]
0;[[0.52676564]]
0;[[0.52692884]]
0;[[0.5237462]]
1;[[0.5270286]]
1;[[0.49807712]]
1;[[0.44525105]]
0;[[0.5270516]]
0;[[0.52621907]]
1;[[0.5247118]]
1;[[0.526965]]
1;[[0.5248313]]
1;[[0.52182907]]
0;[[0.49940965]]
1;[[0.5266896]]
1;[[0.52662]]
0;[[0.52617997]]
0;[[0.5234876]]
0;[[0.52641785]]
0;[[0.5264625]]
0;[[0.5264625]]
1;[[0.5265783]]
1;[[0.5174823]]
1;[[0.5259961]]
0;[[0.5264625]]
0;[[0.5270512]]
0;[[0.51826674]]
1;[[0.5270827]]
0;[[0.5267882]]
1;[[0.5269657]]
1;[[0.52750707]]
1;[[0.5161439]]
1;[[0.526149]]
1;[[0.527008]]
0;[[0.5269493]]
1;[[0.5181119]]
0;[[0.5134097]]
0;[[0.5266896]]
0;[[0.5269587]]
1;[[0.517802]]
0;[[0.5269611]]
0;[[0.52677786]]
1;[[0.5269657]]
0;[[0.524844]]
1;[[0.52651024]]
1;[[0.5264213]]
1;[[0.5262063]]
1;[[0.5236823]]
1;[[0.5263981]]
0;[[0.5270827]]
0;[[0.521703]]
1;[[0.5216943]]
1;[[0.5236306]]
1;[[0.5273709]]
1;[[0.52524835]]
1;[[0.52686584]]
1;[[0.526527]]
1;[[0.49016303]]
1;[[0.52676815]]
0;[[0.5266896]]
0;[[0.5270803]]
1;[[0.52669215]]
0;[[0.52677786]]
0;[[0.5264625]]
0;[[0.5269921]]
1;[[0.5270827]]
1;[[0.5269657]]
1;[[0.5270827]]
1;[[0.5267882]]
1;[[0.52436]]
1;[[0.5266896]]
1;[[0.5179879]]
0;[[0.5264625]]
0;[[0.5270753]]
0;[[0.5245809]]
1;[[0.524479]]
0;[[0.4607171]]
1;[[0.5263026]]
0;[[0.5262063]]
1;[[0.5270803]]
1;[[0.5248624]]
1;[[0.5268028]]
0;[[0.52662]]
1;[[0.5269502]]
1;[[0.52073276]]
0;[[0.5263067]]
1;[[0.5270673]]
0;[[0.49807712]]
1;[[0.5259961]]
1;[[0.5063829]]
1;[[0.52744955]]
1;[[0.5264777]]
1;[[0.5073406]]
0;[[0.52608967]]
1;[[0.5270893]]
1;[[0.5259669]]
0;[[0.5270567]]
1;[[0.5251635]]
0;[[0.52618456]]
0;[[0.52677786]]
0;[[0.52655077]]
1;[[0.5262063]]
1;[[0.52498114]]
1;[[0.52756625]]
1;[[0.5266957]]
1;[[0.5262063]]
0;[[0.5264625]]
0;[[0.5267293]]
0;[[0.52669215]]
0;[[0.5148385]]
1;[[0.5270688]]
1;[[0.5270484]]
1;[[0.5246486]]
0;[[0.5267293]]
1;[[0.5147343]]
1;[[0.5261878]]
0;[[0.5270512]]
0;[[0.5259961]]
0;[[0.52103084]]
1;[[0.526901]]
1;[[0.5253006]]
1;[[0.5261878]]
1;[[0.52677786]]
1;[[0.52677786]]
0;[[0.4979458]]
0;[[0.51791143]]
0;[[0.5270827]]
0;[[0.5258274]]
1;[[0.5266572]]
1;[[0.52665675]]
1;[[0.52377623]]
0;[[0.52071494]]
0;[[0.5214815]]
0;[[0.5270827]]
0;[[0.5270618]]
1;[[0.50044537]]
1;[[0.5270806]]
0;[[0.5261973]]
1;[[0.51057386]]
0;[[0.5267293]]
1;[[0.5172523]]
0;[[0.5270893]]
1;[[0.52697444]]
0;[[0.5252777]]
0;[[0.5264182]]
1;[[0.51868623]]
1;[[0.5269657]]
0;[[0.5265597]]
1;[[0.522129]]
1;[[0.5208341]]
1;[[0.5264108]]
1;[[0.5264625]]
0;[[0.4943748]]
1;[[0.5270827]]
0;[[0.5270803]]
1;[[0.5273634]]
1;[[0.52185804]]
1;[[0.5267152]]
0;[[0.52681106]]
0;[[0.52105623]]
0;[[0.5229952]]
0;[[0.52677786]]
1;[[0.49968007]]
0;[[0.52672946]]
0;[[0.5262063]]
1;[[0.52470917]]
1;[[0.5238638]]
0;[[0.5270567]]
1;[[0.5265496]]
1;[[0.50705]]
1;[[0.52584094]]
0;[[0.5236377]]
1;[[0.5263968]]
1;[[0.5269885]]
0;[[0.5270893]]
1;[[0.50855726]]
1;[[0.5265095]]
1;[[0.5267293]]
1;[[0.5146946]]
1;[[0.5270893]]
1;[[0.5269657]]
1;[[0.52706665]]
0;[[0.52681106]]
0;[[0.5180772]]
1;[[0.5267469]]
1;[[0.52758676]]
1;[[0.5269657]]
1;[[0.5270827]]
1;[[0.5270827]]
1;[[0.5268827]]
0;[[0.494318]]
0;[[0.52692306]]
0;[[0.5270827]]
0;[[0.5270853]]
0;[[0.52644455]]
0;[[0.5264313]]
1;[[0.5252344]]
1;[[0.52627]]
1;[[0.52645075]]
1;[[0.51819015]]
0;[[0.5267882]]
0;[[0.5258354]]
0;[[0.5267152]]
0;[[0.5259961]]
0;[[0.5269657]]
1;[[0.52724534]]
0;[[0.52372754]]
1;[[0.5269657]]
1;[[0.52074564]]
0;[[0.5022895]]
0;[[0.5269657]]
1;[[0.5264313]]
1;[[0.5267293]]
1;[[0.52678245]]
1;[[0.5270423]]
1;[[0.52414846]]
0;[[0.5264625]]
1;[[0.5267117]]
0;[[0.5267293]]
1;[[0.5266202]]
0;[[0.46065855]]
1;[[0.525439]]
1;[[0.5259897]]
0;[[0.5264625]]
0;[[0.52676386]]
1;[[0.52572614]]
1;[[0.52554154]]
1;[[0.52640206]]
1;[[0.516762]]
0;[[0.52681106]]
1;[[0.5248118]]
0;[[0.5263149]]
1;[[0.52530205]]
0;[[0.5208909]]
1;[[0.5252777]]
1;[[0.52734536]]
0;[[0.5216917]]
1;[[0.5266823]]
1;[[0.51887125]]
0;[[0.51845735]]
1;[[0.52660704]]
1;[[0.5270827]]
0;[[0.52642787]]
0;[[0.52677786]]
0;[[0.5262063]]
1;[[0.5210334]]
1;[[0.5264625]]
1;[[0.5252777]]
0;[[0.52453816]]
1;[[0.5215118]]
1;[[0.5219203]]
0;[[0.5270827]]
1;[[0.5190664]]
1;[[0.51575017]]
1;[[0.5265632]]
1;[[0.5252165]]
1;[[0.5269493]]
0;[[0.5262063]]
1;[[0.5218502]]
1;[[0.5270893]]
0;[[0.52693665]]
1;[[0.5262063]]
0;[[0.5250249]]
0;[[0.5267882]]
0;[[0.5269657]]
0;[[0.5264625]]
0;[[0.5267293]]
1;[[0.5270286]]
1;[[0.49789694]]
0;[[0.526409]]
1;[[0.52755487]]
1;[[0.5269711]]
0;[[0.49742186]]
1;[[0.52105147]]
0;[[0.5269657]]
0;[[0.52365386]]
1;[[0.5270264]]
1;[[0.5267152]]
1;[[0.52671474]]
1;[[0.5252859]]
0;[[0.5253341]]
1;[[0.51673055]]
1;[[0.52490306]]
0;[[0.5266896]]
0;[[0.5264625]]
1;[[0.49535134]]
1;[[0.5270208]]
1;[[0.5258854]]
0;[[0.5264625]]
0;[[0.5270827]]
1;[[0.5205104]]
0;[[0.5259961]]
1;[[0.5116403]]
0;[[0.5264625]]
1;[[0.5263602]]
0;[[0.52564913]]
0;[[0.5269272]]
1;[[0.5267556]]
1;[[0.51196355]]
1;[[0.5247562]]
0;[[0.5270893]]
0;[[0.5269657]]
0;[[0.52677786]]
1;[[0.52701145]]
1;[[0.5208149]]
1;[[0.52638185]]
0;[[0.5213041]]
1;[[0.5264625]]
0;[[0.5267293]]
1;[[0.52673525]]
0;[[0.52700824]]
1;[[0.52706665]]
0;[[0.5245885]]
1;[[0.5267882]]
0;[[0.5270193]]
0;[[0.5180796]]
0;[[0.5259961]]
1;[[0.52724236]]
0;[[0.5262063]]
0;[[0.52071494]]
0;[[0.52672946]]
0;[[0.5267882]]
0;[[0.4754882]]
0;[[0.52665657]]
1;[[0.52583313]]
0;[[0.5270034]]
0;[[0.52708524]]
0;[[0.5269657]]
0;[[0.5264625]]
0;[[0.5237835]]
0;[[0.5269483]]
1;[[0.5264625]]
1;[[0.5263734]]
0;[[0.5261213]]
0;[[0.5270672]]
1;[[0.5270229]]
1;[[0.5263776]]
0;[[0.51957333]]
1;[[0.5098085]]
1;[[0.51871616]]
0;[[0.5266957]]
1;[[0.51507777]]
0;[[0.5261944]]
1;[[0.5267276]]
0;[[0.5270672]]
1;[[0.5241447]]
0;[[0.5259961]]
0;[[0.525439]]
0;[[0.5264625]]
0;[[0.5270827]]
1;[[0.5244166]]
1;[[0.5269666]]
1;[[0.52460223]]
0;[[0.5242173]]
0;[[0.515273]]
0;[[0.52644765]]
0;[[0.5270297]]
0;[[0.5270827]]
0;[[0.5270593]]
0;[[0.5259961]]
1;[[0.52689654]]
0;[[0.5269397]]
0;[[0.5181042]]
0;[[0.5269657]]
1;[[0.52697444]]
1;[[0.5270593]]
0;[[0.5266598]]
0;[[0.4979458]]
0;[[0.5270893]]
1;[[0.5269657]]
1;[[0.52529866]]
0;[[0.5266896]]
0;[[0.5267882]]
1;[[0.51436096]]
0;[[0.5264347]]
1;[[0.52366227]]
0;[[0.5254528]]
0;[[0.5266896]]
1;[[0.52436]]
0;[[0.5269811]]
0;[[0.52466816]]
1;[[0.52748394]]
0;[[0.5270803]]
1;[[0.52560544]]
0;[[0.52440345]]
0;[[0.5267152]]
1;[[0.5259708]]
0;[[0.5270827]]
0;[[0.5266764]]
1;[[0.5254586]]
1;[[0.5270827]]
0;[[0.5268189]]
1;[[0.52144927]]
0;[[0.52573586]]
1;[[0.52677786]]
1;[[0.52189666]]
0;[[0.52667195]]
1;[[0.52676386]]
1;[[0.5269965]]
0;[[0.52645963]]
1;[[0.52645963]]
0;[[0.5267236]]
1;[[0.5275905]]
0;[[0.52681106]]
1;[[0.52644134]]
0;[[0.52372754]]
0;[[0.5209475]]
1;[[0.5260202]]
0;[[0.5263149]]
1;[[0.5270767]]
0;[[0.52674305]]
1;[[0.5246432]]
1;[[0.5269272]]
0;[[0.5267293]]
0;[[0.52585626]]
0;[[0.52448666]]
1;[[0.5140399]]
1;[[0.5269657]]
1;[[0.52631503]]
0;[[0.5270827]]
1;[[0.5270394]]
1;[[0.52528936]]
0;[[0.5208222]]
0;[[0.5235648]]
1;[[0.50542]]
0;[[0.52557963]]
0;[[0.5263646]]
0;[[0.5264625]]
1;[[0.5275]]
1;[[0.52677786]]
0;[[0.5267293]]
1;[[0.5270827]]
0;[[0.5264625]]
0;[[0.52372754]]
1;[[0.49439144]]
1;[[0.51520985]]
0;[[0.5266697]]
0;[[0.5216849]]
0;[[0.5252777]]
0;[[0.5267152]]
0;[[0.5264625]]
0;[[0.52631456]]
0;[[0.52676505]]
0;[[0.5261213]]
1;[[0.48102838]]
1;[[0.52681106]]
0;[[0.52707726]]
0;[[0.5264625]]
1;[[0.5267264]]
1;[[0.52482784]]
1;[[0.5071357]]
0;[[0.523503]]
0;[[0.5269493]]
0;[[0.5267478]]
0;[[0.52730954]]
1;[[0.52670425]]
0;[[0.52681106]]
0;[[0.52544564]]
0;[[0.5196371]]
1;[[0.52616733]]
1;[[0.5239498]]
0;[[0.52677786]]
1;[[0.52675605]]
0;[[0.52681106]]
1;[[0.52676994]]
1;[[0.5098566]]
1;[[0.51922935]]
